datetime;Abertura;Fechamento;Maxima;Minima;Volume_Real;Volume_Tick;label
2025-10-21 09:30:00;147555;147160;147590;147145;301515;104458;Lateral
2025-10-21 09:35:00;147165;147255;147360;147085;360420;118093;Lateral
2025-10-21 09:40:00;147255;147155;147315;147120;197969;63441;Lateral
2025-10-21 09:45:00;147155;147135;147205;147050;169546;56812;Lateral
2025-10-21 09:50:00;147135;147020;147220;147005;206232;65524;Lateral
2025-10-21 09:55:00;147025;146985;147110;146970;156412;49675;Lateral
2025-10-21 10:00:00;146985;147030;147165;146880;376416;120442;Lateral
2025-10-21 10:05:00;147035;147030;147080;146855;298260;96122;Lateral
2025-10-21 10:10:00;147035;147065;147140;146885;296954;94228;Lateral
2025-10-21 10:15:00;147070;146880;147105;146810;373176;115109;Lateral
2025-10-21 10:20:00;146880;147065;147125;146875;216595;67458;Lateral
2025-10-21 10:25:00;147065;146880;147080;146800;234022;72197;Lateral
2025-10-21 10:30:00;146875;146650;147025;146645;472420;145403;Lateral
2025-10-21 10:35:00;146650;146845;147010;146650;347249;104118;Lateral
2025-10-21 10:40:00;146845;146985;147000;146800;274246;81236;Lateral
2025-10-21 10:45:00;146985;147050;147720;146950;626069;206786;Lateral
2025-10-21 10:50:00;147050;147030;147215;146895;270668;90971;Lateral
2025-10-21 10:55:00;147030;147155;147180;146935;196849;64715;Lateral
2025-10-21 11:00:00;147155;146940;147165;146815;242352;82416;Lateral
2025-10-21 11:05:00;146945;147195;147330;146935;311906;100877;Lateral
2025-10-21 11:10:00;147195;147375;147380;147195;174007;57957;Lateral
2025-10-21 11:15:00;147375;147550;147670;147340;270672;83114;Lateral
2025-10-21 11:20:00;147545;147640;147740;147485;235747;72621;Lateral
2025-10-21 11:25:00;147640;147530;147735;147455;261725;80419;Lateral
2025-10-21 11:30:00;147525;147495;147565;147370;191535;62446;Lateral
2025-10-21 11:35:00;147490;147275;147515;147255;178719;57729;Lateral
2025-10-21 11:40:00;147275;147285;147320;147150;194225;58294;Lateral
2025-10-21 11:45:00;147290;147340;147420;147225;181327;55835;Lateral
2025-10-21 11:50:00;147335;147275;147340;147125;209066;61586;Lateral
2025-10-21 11:55:00;147275;147375;147390;147235;125785;36866;Lateral
2025-10-22 09:00:00;146995;146670;147070;146600;384665;155728;Compra
2025-10-22 09:05:00;146665;146855;146945;146565;294657;108201;Compra
2025-10-22 09:10:00;146855;146840;146915;146725;269768;94421;Compra
2025-10-22 09:15:00;146835;146985;147125;146805;327578;112093;Compra
2025-10-22 09:20:00;146990;146855;147175;146850;284899;99531;Compra
2025-10-22 09:25:00;146855;146965;146995;146825;151607;54194;Compra
2025-10-22 09:30:00;146965;147100;147180;146955;223827;77742;Compra
2025-10-22 09:35:00;147100;147315;147325;147085;217095;75108;Compra
2025-10-22 09:40:00;147315;147315;147415;147265;255585;89635;Compra
2025-10-22 09:45:00;147320;147470;147490;147300;206355;66992;Compra
2025-10-22 09:50:00;147475;147555;147615;147415;206795;67617;Compra
2025-10-22 09:55:00;147555;147635;147795;147515;337720;106686;Compra
2025-10-22 10:00:00;147640;147345;147750;147300;426199;136608;Compra
2025-10-22 10:05:00;147340;147420;147435;147285;264066;86364;Compra
2025-10-22 10:10:00;147415;147205;147455;147200;308740;99758;Compra
2025-10-22 10:15:00;147205;146920;147235;146900;374602;118118;Compra
2025-10-22 10:20:00;146920;147035;147140;146835;382150;116474;Compra
